hostgroups,url,series,RED_PATTERN,GREEN_PATTERN,YELLOW_PATTERN
ITOS,http://10.128.1.10/api/control.php,DN1700,20010000,00210000,02010000
TSD,http://10.128.1.36/api/control.php,DN1700,20010000,00210000,02010000
SLHD,http://10.136.173.190/api/control,DN1500,10010000,00110000,01010000
NCC,http://10.128.1.30/api/control.php,DN1700,20010000,00210000,02010000
新宿11階パトランプ,http://10.128.1.10/api/control.php,DN1700,20010000,00210000,02010000
新宿12階パトランプ,http://10.128.1.36/api/control.php,DN1700,20010000,00210000,02010000
ハウコム運用顧客,http://10.136.173.190/api/control,DN1500,10010000,00110000,01010000
